veg.date,Year,Julian_day,SiteID,site,latitude,longitude,SiteElevation,CumulativePrecipitation,aphid.presence,hemiptera.aphididae,white.clover,black.medick,yellow.sweet.clover,hairy.vetch,silky.lupine,milkvetch.1,peavine,crimson.clover,common.vetch,large.cow.pea,pink.cow.pea,white.cow.pea,alfalfa,red.clover,subterranian.clover,wooly.pod.milkvetch,white.locoweed,lentil.vetch,clover.1,american.vetch,everlasting.vetchling,spurred.lupine,low.hop.clover
7/18/2018,2018,199,Rob 7,Palouse Conservation Farm,46.74010726,-117.1423716,796,355.7,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/18/2018,2018,199,Rob 8,Palouse Conservation Farm,46.74010726,-117.1423716,796,355.7,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/31/2018,2018,151,Rose Creek 1,Rose Creek,46.825964,-117.207379,726,282.76,No,0,0,0,0,555,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/31/2018,2018,151,Rose Creek 2,Rose Creek,46.82535,-117.208107,726,282.76,No,0,0,0,0,0,113,0,0,0,45,41,0,0,0,0,0,0,0,0,0,0,0,0,0
7/13/2018,2018,194,Rose Creek 3,Rose Creek,46.82535,-117.208107,726,319.14,Yes,2,0,0,0,301,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/5/2018,2018,186,Ryan Road 1,Little Road,46.657054,-117.314545,776,353.28,Yes,1957,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/16/2018,2018,197,Ryan Road 2,Little Road,46.656808,-117.314772,776,353.28,Yes,525,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2018,2018,162,Skinner 1,Skinner,46.662488,-116.991406,941,450.84,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875,0,0,0,0,0
6/11/2018,2018,162,Skinner 2,Skinner,46.663635,-116.987287,941,450.84,Yes,14,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2018,2018,162,Skinner 3,Skinner,46.663635,-116.987287,941,450.84,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261,4,0,0,0,0
6/22/2018,2018,173,Skinner 4,Skinner,46.661967,-116.986591,941,466.04,Yes,108,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/22/2018,2018,173,Skinner 5,Skinner,46.661967,-116.986591,941,466.04,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187
6/4/2018,2018,155,Smoot Hill 1,Smoot,46.826189,-117.235913,761,303.2,No,0,0,1636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/4/2018,2018,155,Smoot Hill 2,Smoot,46.829293,-117.241922,761,303.2,No,39,0,0,0,0,485,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
7/13/2018,2018,194,Smoot Hill 3,Smoot,46.826189,-117.235913,761,336.32,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/29/2018,2018,149,Snake River 2,Smoot,46.448062,-117.204481,269,210.49,Yes,84,0,0,0,1902,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0
5/29/2018,2018,149,Snake River 3,Smoot,46.423633,-117.201204,413,221.48,No,0,0,0,809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/21/2018,2018,141,St. John 1,St. John,47.118835,-117.54199,643,205.9,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/21/2018,2018,141,St. John 2,St. John,47.118266,-117.541339,643,205.9,Yes,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/11/2018,2018,192,Union Flat Road,Union Flat Road,46.626401,-117.23734,784,375.18,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/7/2018,2018,127,Wawawai 1,Wawawai,46.636913,-117.377589,308,196.09,No,0,734,151,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/7/2018,2018,127,Wawawai 2,Wawawai,46.63818,-117.377556,280,178.48,Yes,1,0,0,0,18,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/7/2018,2018,127,Wawawai 3,Wawawai,46.638853,-117.375796,280,178.48,Yes,2,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/2/2018,2018,183,Wawawai 4,Wawawai,46.638853,-117.375796,280,246.77,Yes,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
